slug	name	category	url
crosscurrent-zip-gtx-wader	Crosscurrent Zip GTX Wader	wader	https://www.sitkagear.com/products/crosscurrent-zip-gtx-wader
cuffed-knit-beanie	Cuffed Knit Beanie	hat	https://www.sitkagear.com/products/cuffed-knit-beanie
dakota-pant	Dakota Pant	pant	https://www.sitkagear.com/products/dakota-pant
dakota-vest	Dakota Vest	vest	https://www.sitkagear.com/products/dakota-vest
delta-gtx-wader	Delta GTX Wader	wader	https://www.sitkagear.com/products/delta-gtx-wader
delta-lt-bib	Delta LT Bib	bib	https://www.sitkagear.com/products/delta-lt-bib
delta-lt-jacket	Delta LT Jacket	jacket	https://www.sitkagear.com/products/delta-lt-jacket
delta-pro-wading-jacket	Delta Pro Wading Jacket	jacket	https://www.sitkagear.com/products/delta-pro-wading-jacket
delta-pro-zip-gtx-wader	Delta Pro Zip GTX Wader	wader	https://www.sitkagear.com/products/delta-pro-zip-gtx-wader
delta-ventlite-zip-gtx-wader	Delta Ventlite Zip GTX Wader	wader	https://www.sitkagear.com/products/delta-ventlite-zip-gtx-wader
dew-point-jacket	Dew Point Jacket	jacket	https://www.sitkagear.com/products/dew-point-jacket
dew-point-jacket-2025-discontinued	Dew Point Jacket (2025 Discontinued)	jacket	https://www.sitkagear.com/products/dew-point-jacket-2025-discontinued
dew-point-pant	Dew Point Pant	pant	https://www.sitkagear.com/products/dew-point-pant
dew-point-pant-2025-discontinued	Dew Point Pant (2025 Discontinued)	pant	https://www.sitkagear.com/products/dew-point-pant-2025-discontinued
dew-point-pro-bib-pant	Dew Point Pro Bib Pant	bib	https://www.sitkagear.com/products/dew-point-pro-bib-pant
dew-point-pro-jacket	Dew Point Pro Jacket	jacket	https://www.sitkagear.com/products/dew-point-pro-jacket
dew-point-ul-jacket	Dew Point UL Jacket	jacket	https://www.sitkagear.com/products/dew-point-ul-jacket
double-cuff-acrylic-knit-beanie	Double Cuff Acrylic Knit Beanie	hat	https://www.sitkagear.com/products/double-cuff-acrylic-knit-beanie
downpour-jacket	Downpour Jacket	jacket	https://www.sitkagear.com/products/downpour-jacket
downpour-pant	Downpour Pant	pant	https://www.sitkagear.com/products/downpour-pant
drifter-carry-on-35l	Drifter Carry-On 35L	pack	https://www.sitkagear.com/products/drifter-carry-on-35l
drifter-duffle-110l	Drifter Duffle 110L	pack	https://www.sitkagear.com/products/drifter-duffle-110l
drifter-duffle-50l	Drifter Duffle 50L	pack	https://www.sitkagear.com/products/drifter-duffle-50l
drifter-duffle-50l-foh-edition	Drifter Duffle 50L (FOH Edition)	pack	https://www.sitkagear.com/products/drifter-duffle-50l-foh-edition
